class,image,yellow_ratio,brown_ratio,dark_ratio,flagged_yellow,flagged_brown,flagged_dark,flagged_overall
gray_leaf_blight,Bipolaris oryzae associated agent at the leaf spot disease in Cocos nucifera hyb.jpg,0.1509,0.0211,0.0940,False,True,True,True
gray_leaf_blight,"Blight in coconut leaves, Dried coconut leaves, Coconut trees infected with fung.jpg",0.2592,0.1046,0.0919,True,True,True,True
gray_leaf_blight,Blight spot of coconut tree leaf caused by insect Stock Photo.jpg,0.2212,0.0233,0.0120,False,True,False,True
gray_leaf_blight,"Bottle palms look yellow, and I seek advice - DISCUSSING PALM TREES WORLDWIDE - .jpg",0.9004,0.0475,0.0155,True,True,False,True
gray_leaf_blight,Brown Leaf Spot _ FMC Philippines.jpg,0.1527,0.0233,0.1873,False,True,True,True
gray_leaf_blight,Brown Spot of Tobacco _ NC State Extension Publications.jpg,0.5776,0.0409,0.0028,True,True,False,True
gray_leaf_blight,Brown Spotting on Dwarf Coconut Palm _ r_plantclinic.jpg,0.2508,0.0552,0.0165,False,True,False,True
gray_leaf_blight,Brown spot - IRRI Rice Knowledge Bank (1).jpg,0.0907,0.0086,0.0016,False,False,False,False
gray_leaf_blight,Brown spot - IRRI Rice Knowledge Bank.jpg,0.1342,0.0182,0.2370,False,False,True,True
gray_leaf_blight,Brown spot infected rice leaves caused by Bipolaris oryzae. A_ Typical... _ Down.jpg,0.3361,0.0415,0.1199,True,True,True,True
gray_leaf_blight,Causes and treatment of leaf spots on palm trees.jpg,0.4434,0.0509,0.1159,True,True,True,True
gray_leaf_blight,Close-up of a green coconut palm leaf with yellow spots or fungal disease sympto.jpg,0.3586,0.0030,0.0075,True,False,False,True
gray_leaf_blight,Close-up of diseased coconut palm seedling leaf with brown spots and necrosis. S.jpg,0.2621,0.0164,0.0000,True,False,False,True
gray_leaf_blight,Closeup The leaves of the coconut trees are caused by eating insects and winds. .jpg,0.4512,0.0016,0.2093,True,False,True,True
gray_leaf_blight,Cochliobolus miyabeanus - Wikipedia.jpg,0.4197,0.0530,0.0074,True,True,False,True
gray_leaf_blight,Coconut (false) scale (348).jpg,0.4561,0.0688,0.0011,True,True,False,True
gray_leaf_blight,Coconut Diseases and Pest Infestations.jpg,0.2337,0.0006,0.0185,False,False,False,False
gray_leaf_blight,Coconut Leaf Spots Common Disease Viet Stock Photo 1730850367 _ Shutterstock (1).jpg,0.4190,0.1814,0.0044,True,True,False,True
gray_leaf_blight,Coconut Leaf Spots Common Disease Viet Stock Photo 1730850367 _ Shutterstock.jpg,0.0978,0.0121,0.0046,False,False,False,False
gray_leaf_blight,Coconut Leaves Damaged By Disease Insects Stock Photo 2707015451 _ Shutterstock.jpg,0.6143,0.0044,0.0218,True,False,False,True
gray_leaf_blight,Coconut Palm Brown Leaves - Treatment (1).jpg,0.7481,0.1521,0.0195,True,True,False,True
gray_leaf_blight,Coconut Palm Brown Leaves - Treatment (2).jpg,0.7998,0.0031,0.1447,True,False,True,True
gray_leaf_blight,Coconut Palm Brown Leaves - Treatment (3).jpg,0.2466,0.0411,0.1121,False,True,True,True
gray_leaf_blight,Coconut Palm Brown Leaves - Treatment (4).jpg,0.0139,0.0012,0.0192,False,False,False,False
gray_leaf_blight,Coconut Palm Brown Leaves - Treatment.jpg,0.2746,0.1743,0.0723,True,True,True,True
gray_leaf_blight,Coconut Palm Leaf Infection Disease Make Stock Photo 1234854637 _ Shutterstock.jpg,0.1037,0.0594,0.2035,False,True,True,True
gray_leaf_blight,Coconut Tree Branch Dry Leaves in Green Background Stock Image - Image of branch.jpg,0.3027,0.0376,0.1403,True,True,True,True
gray_leaf_blight,Coconut Tree Disease Object Detection Model by Phanidhar Reddy.jpg,0.1217,0.0226,0.0140,False,True,False,True
gray_leaf_blight,Coconut Tree Disease Stock Photos - Free & Royalty-Free Stock Photos from Dreams.jpg,0.1818,0.0481,0.0197,False,True,False,True
gray_leaf_blight,"Coconut _ Diseases and Pests, Description, Uses, Propagation.jpg",0.7130,0.1010,0.1220,True,True,True,True
gray_leaf_blight,Coconut leaf spots (090) (1).jpg,0.2377,0.0007,0.0054,False,False,False,False
gray_leaf_blight,Coconut leaf spots (090) (2).jpg,0.2005,0.0187,0.2018,False,False,True,True
gray_leaf_blight,Coconut leaf stripe (139).jpg,0.0393,0.0151,0.0325,False,False,True,True
gray_leaf_blight,Coconut leaf_frond black spots. 18.99$ - DISCUSSING PALM TREES WORLDWIDE - PalmT.jpg,0.2420,0.0699,0.0539,False,True,True,True
gray_leaf_blight,Coconut leaves that grow shriveled or infertile are caused by the dwarf virus St.jpg,0.2417,0.0955,0.0331,False,True,True,True
gray_leaf_blight,"Coconut leaves, Coconut leaf background, craft material leaves. Coconut leaf sin (1).jpg",0.7935,0.1154,0.1070,True,True,True,True
gray_leaf_blight,Coconut palm brown spots_ _ r_houseplants (1).jpg,0.1066,0.0055,0.0001,False,False,False,False
gray_leaf_blight,Coconut palm brown spots_ _ r_houseplants.jpg,0.0516,0.0067,0.0002,False,False,False,False
gray_leaf_blight,Coconut plant. What is the solution of this white disease_ Please help.jpg,0.6481,0.0906,0.2263,True,True,True,True
gray_leaf_blight,Coconut seedling blight (075) (1).jpg,0.4201,0.1307,0.0117,True,True,False,True
gray_leaf_blight,Coconut thread blight (167).jpg,0.1851,0.0654,0.1135,False,True,True,True
gray_leaf_blight,Cold Damage on Palms1.jpg,0.7124,0.2286,0.0965,True,True,True,True
gray_leaf_blight,Cold damage on my coconut palm_ - WEATHER _ CLIMATE - PalmTalk.jpg,0.3210,0.0038,0.3389,True,False,True,True
gray_leaf_blight,Crop Protection Network.jpg,0.6347,0.1215,0.0075,True,True,False,True
gray_leaf_blight,DeepSeqCoco_ A Robust Mobile Friendly Deep Learning Model for Detection of Disea.jpg,0.1223,0.1021,0.0570,False,True,True,True
gray_leaf_blight,Detection of coconut leaf diseases using enhanced deep learning techniques (1).jpg,0.1031,0.0026,0.0014,False,False,False,False
gray_leaf_blight,Detection of coconut leaf diseases using enhanced deep learning techniques - San.jpg,0.2330,0.0802,0.0245,False,True,False,True
gray_leaf_blight,Detection of coconut leaf diseases using enhanced deep learning techniques.jpg,0.6319,0.4654,0.0372,True,True,True,True
gray_leaf_blight,Diagrammatic scale for spot on leaves of coconut palm seedlings caused... _ Down.jpg,0.1432,0.0218,0.6406,False,True,True,True
gray_leaf_blight,Dihydroxyhexanoic acid biosynthesis controls turgor in pathogenic fungi (1).jpg,0.0113,0.0004,0.0000,False,False,False,False
gray_leaf_blight,"Dracaena Reflexa Care_ Benefits, Growth and Common Fixes - Houseplants Nook.jpg",0.5236,0.1532,0.0333,True,True,True,True
gray_leaf_blight,Figure 3 from Gray Leaf Spot Disease of Corn _ Semantic Scholar.jpg,0.0773,0.0045,0.1026,False,False,True,True
gray_leaf_blight,Frontiers _ Application of Remote Sensing for Phenotyping Tar Spot Complex Resis.jpg,0.1107,0.0134,0.0057,False,False,False,False
gray_leaf_blight,Garden Guy Hawaii_ Coconut Mealybug.jpg,0.0203,0.0120,0.0063,False,False,False,False
gray_leaf_blight,"Good morning. I am a hobby farmer with a small lot. I hv a few dwarf coconut,one.jpg",0.5055,0.1310,0.0067,True,True,False,True
gray_leaf_blight,GrayLeafSpot002.jpg,0.1027,0.1170,0.0602,False,True,True,True
gray_leaf_blight,GrayLeafSpot003.jpg,0.1013,0.1133,0.0646,False,True,True,True
gray_leaf_blight,GrayLeafSpot020.jpg,0.1079,0.1013,0.0425,False,True,True,True
gray_leaf_blight,GrayLeafSpot021.jpg,0.1047,0.0981,0.0368,False,True,True,True
gray_leaf_blight,GrayLeafSpot022.jpg,0.1040,0.1192,0.0265,False,True,True,True
gray_leaf_blight,GrayLeafSpot031.jpg,0.1143,0.1013,0.0419,False,True,True,True
gray_leaf_blight,GrayLeafSpot032.jpg,0.1068,0.1042,0.0580,False,True,True,True
gray_leaf_blight,GrayLeafSpot035.jpg,0.1135,0.1029,0.0451,False,True,True,True
gray_leaf_blight,GrayLeafSpot056.jpg,0.0451,0.1230,0.0318,False,True,True,True
gray_leaf_blight,GrayLeafSpot057.jpg,0.0403,0.1601,0.0269,False,True,True,True
gray_leaf_blight,GrayLeafSpot060.jpg,0.1113,0.0263,0.0045,False,True,False,True
gray_leaf_blight,GrayLeafSpot061.jpg,0.1139,0.0280,0.0062,False,True,False,True
gray_leaf_blight,GrayLeafSpot062.jpg,0.1208,0.0280,0.0152,False,True,False,True
gray_leaf_blight,GrayLeafSpot064.jpg,0.0837,0.0255,0.0192,False,True,False,True
gray_leaf_blight,GrayLeafSpot065.jpg,0.0978,0.0290,0.0145,False,True,False,True
gray_leaf_blight,GrayLeafSpot066.jpg,0.0852,0.0295,0.0169,False,True,False,True
gray_leaf_blight,GrayLeafSpot067.jpg,0.0745,0.0260,0.0165,False,True,False,True
gray_leaf_blight,GrayLeafSpot068.jpg,0.0866,0.0293,0.0179,False,True,False,True
gray_leaf_blight,GrayLeafSpot069.jpg,0.0943,0.0314,0.0292,False,True,True,True
gray_leaf_blight,GrayLeafSpot070.jpg,0.0978,0.0313,0.0246,False,True,False,True
gray_leaf_blight,GrayLeafSpot071.jpg,0.1057,0.0314,0.0182,False,True,False,True
gray_leaf_blight,GrayLeafSpot072.jpg,0.1198,0.0265,0.0105,False,True,False,True
gray_leaf_blight,GrayLeafSpot078.jpg,0.1136,0.0135,0.0044,False,False,False,False
gray_leaf_blight,GrayLeafSpot079.jpg,0.1283,0.0132,0.0028,False,False,False,False
gray_leaf_blight,GrayLeafSpot083.jpg,0.1536,0.0178,0.0023,False,False,False,False
gray_leaf_blight,GrayLeafSpot084.jpg,0.1446,0.0194,0.0064,False,False,False,False
gray_leaf_blight,GrayLeafSpot085.jpg,0.1551,0.0202,0.0022,False,True,False,True
gray_leaf_blight,GrayLeafSpot086.jpg,0.0604,0.0190,0.0475,False,False,True,True
gray_leaf_blight,GrayLeafSpot089.jpg,0.0658,0.0201,0.0356,False,True,True,True
gray_leaf_blight,GrayLeafSpot090.jpg,0.0643,0.0204,0.0398,False,True,True,True
gray_leaf_blight,GrayLeafSpot094.jpg,0.0740,0.0213,0.0397,False,True,True,True
gray_leaf_blight,GrayLeafSpot095.jpg,0.0853,0.0223,0.0315,False,True,True,True
gray_leaf_blight,GrayLeafSpot1000.jpg,0.3085,0.1186,0.0213,True,True,False,True
gray_leaf_blight,GrayLeafSpot1001.jpg,0.3049,0.1284,0.0256,True,True,False,True
gray_leaf_blight,GrayLeafSpot1002.jpg,0.3026,0.1380,0.0291,True,True,True,True
gray_leaf_blight,GrayLeafSpot1003.jpg,0.3098,0.1544,0.0324,True,True,True,True
gray_leaf_blight,GrayLeafSpot1004.jpg,0.2986,0.2003,0.0332,True,True,True,True
gray_leaf_blight,GrayLeafSpot1005.jpg,0.3068,0.1251,0.0129,True,True,False,True
gray_leaf_blight,GrayLeafSpot1006.jpg,0.2887,0.0943,0.0098,True,True,False,True
gray_leaf_blight,GrayLeafSpot1007.jpg,0.2771,0.0700,0.0091,True,True,False,True
gray_leaf_blight,GrayLeafSpot1009.jpg,0.2816,0.0721,0.0126,True,True,False,True
gray_leaf_blight,GrayLeafSpot101.jpg,0.0768,0.0131,0.0187,False,False,False,False
gray_leaf_blight,GrayLeafSpot1010.jpg,0.2868,0.0945,0.0140,True,True,False,True
gray_leaf_blight,GrayLeafSpot1011.jpg,0.3106,0.1604,0.0170,True,True,False,True
gray_leaf_blight,GrayLeafSpot1012.jpg,0.3076,0.1736,0.0206,True,True,False,True
gray_leaf_blight,GrayLeafSpot1013.jpg,0.2935,0.1707,0.0180,True,True,False,True
gray_leaf_blight,GrayLeafSpot1014.jpg,0.2968,0.1636,0.0195,True,True,False,True
gray_leaf_blight,GrayLeafSpot1015.jpg,0.2974,0.1134,0.0134,True,True,False,True
gray_leaf_blight,GrayLeafSpot1016.jpg,0.3001,0.0873,0.0118,True,True,False,True
gray_leaf_blight,GrayLeafSpot1017.jpg,0.2905,0.0733,0.0150,True,True,False,True
gray_leaf_blight,GrayLeafSpot1018.jpg,0.2822,0.0730,0.0167,True,True,False,True
gray_leaf_blight,GrayLeafSpot1019.jpg,0.2870,0.0656,0.0168,True,True,False,True
gray_leaf_blight,GrayLeafSpot102.jpg,0.0671,0.0146,0.0247,False,False,False,False
gray_leaf_blight,GrayLeafSpot1020.jpg,0.1896,0.0926,0.1388,False,True,True,True
gray_leaf_blight,GrayLeafSpot1024.jpg,0.1597,0.0737,0.1490,False,True,True,True
gray_leaf_blight,GrayLeafSpot1027.jpg,0.1664,0.0739,0.1602,False,True,True,True
gray_leaf_blight,GrayLeafSpot1028.jpg,0.1835,0.0671,0.1558,False,True,True,True
gray_leaf_blight,GrayLeafSpot1029.jpg,0.1953,0.0605,0.1515,False,True,True,True
gray_leaf_blight,GrayLeafSpot103.jpg,0.0745,0.0118,0.0218,False,False,False,False
gray_leaf_blight,GrayLeafSpot1030.jpg,0.2036,0.0574,0.1317,False,True,True,True
gray_leaf_blight,GrayLeafSpot1031.jpg,0.2154,0.0627,0.1277,False,True,True,True
gray_leaf_blight,GrayLeafSpot1032.jpg,0.2226,0.0650,0.1006,False,True,True,True
gray_leaf_blight,GrayLeafSpot1033.jpg,0.2356,0.0704,0.0891,False,True,True,True
gray_leaf_blight,GrayLeafSpot1034.jpg,0.2624,0.0743,0.0621,True,True,True,True
gray_leaf_blight,GrayLeafSpot1035.jpg,0.2671,0.0735,0.0603,True,True,True,True
gray_leaf_blight,GrayLeafSpot1036.jpg,0.2566,0.0623,0.0724,True,True,True,True
gray_leaf_blight,GrayLeafSpot1037.jpg,0.2532,0.0647,0.0701,True,True,True,True
gray_leaf_blight,GrayLeafSpot1038.jpg,0.2326,0.0573,0.0934,False,True,True,True
gray_leaf_blight,GrayLeafSpot1039.jpg,0.2308,0.0617,0.1242,False,True,True,True
gray_leaf_blight,GrayLeafSpot1040.jpg,0.2311,0.0583,0.1235,False,True,True,True
gray_leaf_blight,GrayLeafSpot1041.jpg,0.2270,0.0661,0.1204,False,True,True,True
gray_leaf_blight,GrayLeafSpot1042.jpg,0.2132,0.0710,0.1156,False,True,True,True
gray_leaf_blight,GrayLeafSpot1043.jpg,0.2059,0.0800,0.1183,False,True,True,True
gray_leaf_blight,GrayLeafSpot1044.jpg,0.2069,0.0938,0.1371,False,True,True,True
gray_leaf_blight,GrayLeafSpot1045.jpg,0.1970,0.0984,0.1472,False,True,True,True
gray_leaf_blight,GrayLeafSpot1046.jpg,0.1806,0.0971,0.1402,False,True,True,True
gray_leaf_blight,GrayLeafSpot1047.jpg,0.1756,0.0976,0.1412,False,True,True,True
gray_leaf_blight,GrayLeafSpot1049.jpg,0.1954,0.1205,0.1354,False,True,True,True
gray_leaf_blight,GrayLeafSpot1050.jpg,0.1500,0.3571,0.0230,False,True,False,True
gray_leaf_blight,GrayLeafSpot1054.jpg,0.1479,0.3273,0.0147,False,True,False,True
gray_leaf_blight,GrayLeafSpot1055.jpg,0.1516,0.3628,0.0281,False,True,True,True
gray_leaf_blight,GrayLeafSpot1056.jpg,0.1291,0.3211,0.0279,False,True,True,True
gray_leaf_blight,GrayLeafSpot1057.jpg,0.1395,0.3273,0.0391,False,True,True,True
gray_leaf_blight,GrayLeafSpot1058.jpg,0.1363,0.3348,0.0509,False,True,True,True
gray_leaf_blight,GrayLeafSpot1059.jpg,0.1360,0.3559,0.0635,False,True,True,True
gray_leaf_blight,GrayLeafSpot1060.jpg,0.1302,0.3614,0.0774,False,True,True,True
gray_leaf_blight,GrayLeafSpot1062.jpg,0.1635,0.3771,0.1144,False,True,True,True
gray_leaf_blight,GrayLeafSpot1063.jpg,0.1701,0.3795,0.0965,False,True,True,True
gray_leaf_blight,GrayLeafSpot1064.jpg,0.1663,0.3786,0.0579,False,True,True,True
gray_leaf_blight,GrayLeafSpot1065.jpg,0.1499,0.3925,0.0694,False,True,True,True
gray_leaf_blight,GrayLeafSpot1066.jpg,0.1909,0.4146,0.0848,False,True,True,True
gray_leaf_blight,GrayLeafSpot1067.jpg,0.1987,0.4101,0.0746,False,True,True,True
gray_leaf_blight,GrayLeafSpot1068.jpg,0.2338,0.4146,0.0805,False,True,True,True
gray_leaf_blight,GrayLeafSpot1069.jpg,0.2428,0.4124,0.0469,False,True,True,True
gray_leaf_blight,GrayLeafSpot1070.jpg,0.1939,0.3678,0.0250,False,True,False,True
gray_leaf_blight,GrayLeafSpot1071.jpg,0.1920,0.3741,0.0212,False,True,False,True
gray_leaf_blight,GrayLeafSpot1072.jpg,0.1804,0.3818,0.0194,False,True,False,True
gray_leaf_blight,GrayLeafSpot1073.jpg,0.1739,0.3842,0.0202,False,True,False,True
gray_leaf_blight,GrayLeafSpot1074.jpg,0.1762,0.3796,0.0194,False,True,False,True
gray_leaf_blight,GrayLeafSpot1075.jpg,0.2659,0.0596,0.0166,True,True,False,True
gray_leaf_blight,GrayLeafSpot1077.jpg,0.2593,0.0550,0.0171,True,True,False,True
gray_leaf_blight,GrayLeafSpot1079.jpg,0.2609,0.0692,0.0194,True,True,False,True
gray_leaf_blight,GrayLeafSpot1080.jpg,0.2736,0.0870,0.0226,True,True,False,True
gray_leaf_blight,GrayLeafSpot1083.jpg,0.2928,0.0920,0.0196,True,True,False,True
gray_leaf_blight,GrayLeafSpot1088.jpg,0.3099,0.0808,0.0216,True,True,False,True
gray_leaf_blight,GrayLeafSpot1089.jpg,0.3224,0.0855,0.0235,True,True,False,True
gray_leaf_blight,GrayLeafSpot1090.jpg,0.3421,0.0874,0.0213,True,True,False,True
gray_leaf_blight,GrayLeafSpot1092.jpg,0.3479,0.0692,0.0198,True,True,False,True
gray_leaf_blight,GrayLeafSpot1093.jpg,0.3395,0.0802,0.0172,True,True,False,True
gray_leaf_blight,GrayLeafSpot1094.jpg,0.3274,0.0883,0.0184,True,True,False,True
gray_leaf_blight,GrayLeafSpot1095.jpg,0.4135,0.0462,0.0284,True,True,True,True
gray_leaf_blight,GrayLeafSpot1096.jpg,0.4118,0.0489,0.0285,True,True,True,True
gray_leaf_blight,GrayLeafSpot1099.jpg,0.4168,0.0485,0.0250,True,True,False,True
gray_leaf_blight,GrayLeafSpot110.jpg,0.0626,0.0123,0.0367,False,False,True,True
gray_leaf_blight,GrayLeafSpot1100.jpg,0.4141,0.0477,0.0260,True,True,True,True
gray_leaf_blight,GrayLeafSpot1101.jpg,0.4139,0.0515,0.0275,True,True,True,True
gray_leaf_blight,GrayLeafSpot1102.jpg,0.4191,0.0474,0.0221,True,True,False,True
gray_leaf_blight,GrayLeafSpot1103.jpg,0.4385,0.0450,0.0211,True,True,False,True
gray_leaf_blight,GrayLeafSpot1104.jpg,0.4588,0.0552,0.0211,True,True,False,True
gray_leaf_blight,GrayLeafSpot1105.jpg,0.4733,0.0504,0.0116,True,True,False,True
gray_leaf_blight,GrayLeafSpot1106.jpg,0.4108,0.0412,0.0098,True,True,False,True
gray_leaf_blight,GrayLeafSpot1107.jpg,0.3616,0.0306,0.0097,True,True,False,True
gray_leaf_blight,GrayLeafSpot1108.jpg,0.3156,0.0230,0.0115,True,True,False,True
gray_leaf_blight,GrayLeafSpot1109.jpg,0.2753,0.0168,0.0143,True,False,False,True
gray_leaf_blight,GrayLeafSpot111.jpg,0.0745,0.0159,0.0349,False,False,True,True
gray_leaf_blight,GrayLeafSpot1110.jpg,0.2491,0.0139,0.0209,False,False,False,False
gray_leaf_blight,GrayLeafSpot1111.jpg,0.2429,0.0147,0.0220,False,False,False,False
gray_leaf_blight,GrayLeafSpot1112.jpg,0.3057,0.0194,0.0273,True,False,True,True
gray_leaf_blight,GrayLeafSpot1113.jpg,0.3770,0.0388,0.0297,True,True,True,True
gray_leaf_blight,GrayLeafSpot1114.jpg,0.4185,0.0706,0.0270,True,True,True,True
gray_leaf_blight,GrayLeafSpot1115.jpg,0.3977,0.0720,0.0348,True,True,True,True
gray_leaf_blight,GrayLeafSpot1116.jpg,0.3804,0.0683,0.0347,True,True,True,True
gray_leaf_blight,GrayLeafSpot1117.jpg,0.3701,0.0695,0.0378,True,True,True,True
gray_leaf_blight,GrayLeafSpot1118.jpg,0.3601,0.0682,0.0386,True,True,True,True
gray_leaf_blight,GrayLeafSpot1119.jpg,0.3825,0.0748,0.0388,True,True,True,True
gray_leaf_blight,GrayLeafSpot1120.jpg,0.4184,0.0829,0.0325,True,True,True,True
gray_leaf_blight,GrayLeafSpot1121.jpg,0.4543,0.0724,0.0259,True,True,True,True
gray_leaf_blight,GrayLeafSpot1122.jpg,0.4717,0.0716,0.0215,True,True,False,True
gray_leaf_blight,GrayLeafSpot1123.jpg,0.4752,0.0637,0.0202,True,True,False,True
gray_leaf_blight,GrayLeafSpot1124.jpg,0.4491,0.0647,0.0238,True,True,False,True
gray_leaf_blight,GrayLeafSpot1125.jpg,0.3261,0.0466,0.0289,True,True,True,True
gray_leaf_blight,GrayLeafSpot1127.jpg,0.3691,0.0748,0.0281,True,True,True,True
gray_leaf_blight,GrayLeafSpot1128.jpg,0.3679,0.0752,0.0256,True,True,False,True
gray_leaf_blight,GrayLeafSpot1129.jpg,0.3661,0.0703,0.0256,True,True,False,True
gray_leaf_blight,GrayLeafSpot113.jpg,0.0768,0.0154,0.0416,False,False,True,True
gray_leaf_blight,GrayLeafSpot1130.jpg,0.3635,0.0679,0.0266,True,True,True,True
gray_leaf_blight,GrayLeafSpot1131.jpg,0.3591,0.0665,0.0241,True,True,False,True
gray_leaf_blight,GrayLeafSpot1132.jpg,0.3460,0.0656,0.0235,True,True,False,True
gray_leaf_blight,GrayLeafSpot1133.jpg,0.3564,0.0542,0.0195,True,True,False,True
gray_leaf_blight,GrayLeafSpot1134.jpg,0.3620,0.0500,0.0161,True,True,False,True
gray_leaf_blight,GrayLeafSpot1135.jpg,0.2865,0.0273,0.0151,True,True,False,True
gray_leaf_blight,GrayLeafSpot1137.jpg,0.2167,0.0161,0.0120,False,False,False,False
gray_leaf_blight,GrayLeafSpot1138.jpg,0.2159,0.0176,0.0115,False,False,False,False
gray_leaf_blight,GrayLeafSpot1139.jpg,0.2358,0.0179,0.0110,False,False,False,False
gray_leaf_blight,GrayLeafSpot114.jpg,0.0742,0.0135,0.0463,False,False,True,True
gray_leaf_blight,GrayLeafSpot1140.jpg,0.2728,0.0200,0.0095,True,False,False,True
gray_leaf_blight,GrayLeafSpot1141.jpg,0.3041,0.0212,0.0088,True,True,False,True
gray_leaf_blight,GrayLeafSpot1142.jpg,0.2790,0.0177,0.0090,True,False,False,True
gray_leaf_blight,GrayLeafSpot1143.jpg,0.2312,0.0139,0.0125,False,False,False,False
gray_leaf_blight,GrayLeafSpot1144.jpg,0.2351,0.0141,0.0127,False,False,False,False
gray_leaf_blight,GrayLeafSpot1145.jpg,0.2557,0.0155,0.0176,True,False,False,True
gray_leaf_blight,GrayLeafSpot1146.jpg,0.2769,0.0156,0.0198,True,False,False,True
gray_leaf_blight,GrayLeafSpot1147.jpg,0.3567,0.0321,0.0274,True,True,True,True
gray_leaf_blight,GrayLeafSpot1148.jpg,0.3922,0.0537,0.0319,True,True,True,True
gray_leaf_blight,GrayLeafSpot1149.jpg,0.3599,0.0541,0.0343,True,True,True,True
gray_leaf_blight,GrayLeafSpot1150.jpg,0.3603,0.0624,0.0361,True,True,True,True
gray_leaf_blight,GrayLeafSpot1151.jpg,0.3708,0.0709,0.0403,True,True,True,True
gray_leaf_blight,GrayLeafSpot1152.jpg,0.3651,0.0810,0.0419,True,True,True,True
gray_leaf_blight,GrayLeafSpot1154.jpg,0.4090,0.0990,0.0427,True,True,True,True
gray_leaf_blight,GrayLeafSpot1155.jpg,0.3996,0.0113,0.0077,True,False,False,True
gray_leaf_blight,GrayLeafSpot1156.jpg,0.3660,0.0104,0.0083,True,False,False,True
gray_leaf_blight,GrayLeafSpot1157.jpg,0.3735,0.0116,0.0085,True,False,False,True
gray_leaf_blight,GrayLeafSpot1158.jpg,0.3915,0.0115,0.0093,True,False,False,True
gray_leaf_blight,GrayLeafSpot1159.jpg,0.4743,0.0142,0.0095,True,False,False,True
gray_leaf_blight,GrayLeafSpot116.jpg,0.0550,0.0113,0.0331,False,False,True,True
gray_leaf_blight,GrayLeafSpot1160.jpg,0.5022,0.0153,0.0104,True,False,False,True
gray_leaf_blight,GrayLeafSpot1161.jpg,0.5609,0.0149,0.0103,True,False,False,True
gray_leaf_blight,GrayLeafSpot1162.jpg,0.5506,0.0145,0.0087,True,False,False,True
gray_leaf_blight,GrayLeafSpot1163.jpg,0.5292,0.0145,0.0063,True,False,False,True
gray_leaf_blight,GrayLeafSpot1164.jpg,0.5051,0.0144,0.0071,True,False,False,True
gray_leaf_blight,GrayLeafSpot1165.jpg,0.4702,0.0145,0.0075,True,False,False,True
gray_leaf_blight,GrayLeafSpot1166.jpg,0.4576,0.0149,0.0103,True,False,False,True
gray_leaf_blight,GrayLeafSpot1167.jpg,0.4712,0.0160,0.0091,True,False,False,True
gray_leaf_blight,GrayLeafSpot1168.jpg,0.5002,0.0137,0.0063,True,False,False,True
